id;"Comp. Word";Pronunciation;"English Translation";Frequency
160;銀行;ginkoo;bank;48449
161;指導;sidoo;leadership;48264
162;理由;riyuu;reason;47954
163;投票;toohyoo;voting;47841
164;合意;gooi;agreement;47582
165;表明;hyoomei;declaration;47474
166;攻撃;koogeki;attack;47303
167;管理;kanri;control;46863
168;過去;kako;"the past";46813
169;相手;aite;companion;46710
170;姿勢;sisei;attitude;46677
171;予算;yosan;estimate;46515
172;本部;honbu;headquarters;46330
173;一部;itibu;"one part";46289
174;仕事;sigoto;work;46239
175;拡大;kakudai;magnification;45995
176;民主;minsyu;democracy;45932
177;改正;kaisei;revision;45484
178;最大;saidai;biggest;45440
179;与党;yotoo;"ruling party";45435
180;科学;kagaku;science;45302
181;中央;tyuuoo;centre;45226
182;人間;ningen;"human being";45183
183;最高;saikoo;highest;44925
184;強化;kyooka;strengthen;44839
185;価格;kakaku;price;44749
186;年金;nenkin;annuity;44700
187;住民;zyuumin;citizens;44565
188;文化;bunka;culture;44533
189;内閣;naikaku;cabinet;44307
190;記事;kizi;article;44069
191;最後;saigo;last;44039
192;放送;hoosoo;broadcast;43992
193;主張;syutyoo;claim;43845
194;投資;toosi;investment;43670
195;自由;ziyuu;freedom;43325
196;取引;torihiki;transactions;42377
197;削減;sakugen;cut;42329
198;強調;kyootyoo;emphasis;42255
199;障害;syoogai;obstacle;42189
200;総合;soogoo;synthesis;42096
201;来年;rainen;"next year";42087
202;人気;ninki;popularity;42064
203;財政;zaisei;"financial affairs";41934
204;専門;senmon;speciality;41832
205;投手;toosyu;pitcher;41832
206;重要;zyuuyoo;important;41813
207;法案;hooan;bill;41674
208;首脳;syunoo;head;41672
209;建設;kensetu;construction;41659
210;基本;kihon;foundation;41520
211;安打;anda;"safe hit";41445
212;国家;kokka;state;41269
213;同社;doosya;"the same firm";41121
214;裁判;saiban;trial;40926
215;市民;simin;citizen;40896
216;提出;teisyutu;"to present";40775
217;保護;hogo;care;40729
218;派遣;haken;dispatch;40666
219;負担;hutan;burden;40646
220;効果;kooka;effect;40590
221;外交;gaikoo;diplomacy;40503
222;事務;zimu;business;40474
223;全体;zentai;whole;40474
224;法人;hoozin;"corporate body";40355
225;違反;ihan;violation;40197
226;目標;mokuhyoo;mark;40169
227;予選;yosen;"preliminary contest";40148
228;歴史;rekisi;history;40132
229;事実;zizitu;fact;40130
230;成長;seityoo;growth;40130
231;外相;gaisyoo;"Foreign Minister";40085
232;公開;kookai;"opening to the public";39589
233;患者;kanzya;patient;39528
234;一般;ippan;general;39274
235;海外;kaigai;foreign;39080
236;出身;syussin;"person's origin";39020
237;外国;gaikoku;"foreign country";38798
238;自宅;zitaku;"one's home";38781
239;回戦;kaisen;match;38495
240;使用;siyoo;use;38494
241;契約;keiyaku;contract;38393
242;議論;giron;argument;38228
243;県警;kenkei;"prefectural police";38215
244;職員;syokuin;"staff member";38190
245;導入;doonyuu;introduction;38113
246;住宅;zyuutaku;residence;38045
247;幹事;kanzi;"executive secretary";38005
248;生産;seisan;production;37922
249;地震;zisin;earthquake;37897
250;処分;syobun;disposal;37895
251;発言;hatugen;utterance;37885
252;就任;syuunin;inauguration;37839
253;経験;keiken;experience;37752
254;場所;basyo;place;37589
255;提供;teikyoo;offer;37542
256;今月;kongetu;"this month";37371
257;状態;zyootai;"current status";37309
258;学生;gakusei;student;37242
259;現場;genba;"actual spot";37182
260;危機;kiki;crisis;37175
261;時半;zihan;"about an hour";36896
262;実現;zitugen;implementation;36802
263;今季;konki;"this season";36648
264;記念;kinen;commemoration;36468
265;都市;tosi;town;36448
266;同日;doozitu;"the same day";36378
267;主義;syugi;doctrine;36357
268;展開;tenkai;development;36357
269;地裁;tisai;"district court";36349
270;議長;gityoo;chairman;36164
271;回復;kaihuku;restoration;35990
272;景気;keiki;condition;35952
273;大手;oote;"major company";35900
274;労働;roodoo;"manual labor";35874
275;知事;tizi;"prefectural governor";35772
276;地元;zimoto;"home area";35750
277;審議;singi;deliberation;35664
278;意味;imi;meaning;35624
279;課題;kadai;subject;35432
280;設置;setti;establishment;35195
281;規模;kibo;scale;35071
282;平和;heiwa;peace;34994
283;新聞;sinbun;newspaper;34790
284;行政;gyoosei;administration;34746
285;平均;heikin;average;34690
286;開始;kaisi;start;34680
287;意識;isiki;consciousness;34656
288;産業;sangyoo;industry;34584
289;局長;kyokutyoo;"bureau director";34270
290;発生;hassei;outbreak;34270
291;当選;toosen;"being elected";34262
292;取材;syuzai;"news coverage";34235
293;調整;tyoosei;regulation;33987
294;存在;sonzai;existence;33809
295;獲得;kakutoku;acquisition;33772
296;商品;syoohin;commodity;33656
297;検査;kensa;inspection;33509
298;少年;syoonen;boy;33443
299;作業;sagyoo;work;33433
300;基準;kizyun;standard;33274
301;人物;zinbutu;character;33229
302;音楽;ongaku;music;33201
303;死去;sikyo;death;33188
304;自然;sizen;nature;33156
305;最近;saikin;"most recent";32920
306;登板;tooban;"taking the plate";32869
307;世紀;seiki;century;32655
308;運転;unten;operation;32585
309;得点;tokuten;score;32534
310;不安;huan;anxiety;32309
311;医師;isi;doctor;32234
312;懸念;kenen;worry;32221
313;運動;undoo;exercise;32216
314;練習;rensyuu;practice;32092
315;開幕;kaimaku;"raising the curtain";31775
316;憲法;kenpoo;constitution;31773
317;理解;rikai;understanding;31677
318;地区;tiku;district;31676
319;連合;rengoo;union;31674
320;総裁;soosai;president;31604
321;解決;kaiketu;settlement;31540
322;改善;kaizen;betterment;31534
323;維持;izi;maintenance;31363
324;株式;kabusiki;stock;31200
325;民間;minkan;private;31160
326;措置;soti;measure;31150
327;処理;syori;processing;31136
328;原因;genin;cause;31121
329;勝利;syoori;victory;31108
330;予想;yosoo;expectation;31108
331;市内;sinai;city;31053
332;機構;kikoo;mechanism;30947
333;官房;kanboo;"government secretariat";30862
334;規制;kisei;regulation;30846
335;訪問;hoomon;call;30844
336;注目;tyuumoku;notice;30784
337;具体;gutai;concrete;30609
338;野党;yatoo;"opposition party";30533
339;要求;yookyuu;demand;30509
340;公表;koohyoo;"official announcement";30313
341;部長;butyoo;"of a section or department";30212
342;目的;mokuteki;purpose;30136
343;紹介;syookai;introduction;30006
344;行動;koodoo;action;29960
345;番組;bangumi;program;29930
346;道路;dooro;road;29867
347;保障;hosyoo;guarantee;29847
348;体制;taisei;order;29699
349;業務;gyoomu;business;29671
350;当局;tookyoku;authorities;29638
351;以下;ika;"not exceeding";29607
352;以外;igai;"with the exception of";29561
353;警察;keisatu;police;29534
354;防衛;booei;defense;29521
355;競技;kyoogi;game;29520
356;携帯;keitai;"something carried";29469
357;健康;kenkoo;health;29380
358;受賞;zyusyoo;winning;29111
359;高齢;koorei;age;29100
360;後半;koohan;"second half";29042
361;都内;tonai;"metropolitan area";28998
362;証券;syooken;securities;28729
363;提案;teian;proposal;28693
364;数字;suuzi;numeral;28647
365;程度;teido;degree;28636
366;表現;hyoogen;expression;28561
367;舞台;butai;stage;28553
368;訴訟;sosyoo;litigation;28551
369;主催;syusai;sponsorship;28470
370;発売;hatubai;sale;28468
371;先発;senpatu;forerunner;28314
372;運営;unei;management;28246
373;方法;hoohoo;method;28215
374;禁止;kinsi;prohibition;28207
375;広場;hiroba;plaza;28193
376;挑戦;tyoosen;challenge;28154
377;希望;kiboo;hope;28142
378;質問;situmon;question;28097
379;再生;saisei;resuscitation;28096
380;前年;zennen;"the preceding year";28022
381;条件;zyooken;condition;27992
382;感染;kansen;infection;27991
383;防止;boosi;prevention;27931
384;精神;seisin;mind;27838
385;戦略;senryaku;strategy;27741
386;見方;mikata;viewpoint;27677
387;安定;antei;stability;27606
388;期間;kikan;period;27469
389;整備;seibi;maintenance;27465
390;総務;soomu;"general affairs";27340
391;相談;soodan;consultation;27338
392;自治;ziti;self-government;27246
393;作家;sakka;author;27150
394;要請;yoosei;appeal;27064
395;背景;haikei;background;27058
396;確保;kakuho;guarantee;27050
397;自身;zisin;"by oneself";27028
398;介護;kaigo;nursing;27012
399;機能;kinoo;function;27006
400;業者;gyoosya;trader;26988
401;治療;tiryoo;"medical treatment";26986
402;停止;teisi;suspension;26906
403;部分;bubun;portion;26900
404;編集;hensyuu;editing;26885
405;年代;nendai;age;26795
406;利益;rieki;profit;26770
407;推進;suisin;propulsion;26738
408;将来;syoorai;future;26645
409;出席;syusseki;attendance;26588
410;市長;sityoo;mayor;26521
411;勝負;syoobu;"victory or defeat";26462
412;反発;hanpatu;opposition;26444
413;認識;ninsiki;recognition;26281
414;連盟;renmei;league;26031
415;再開;saikai;reopening;25989
416;成立;seiritu;"coming into existence";25909
417;発見;hakken;discovery;25903
418;延長;entyoo;extension;25877
419;殺人;satuzin;murder;25860
420;人々;hitobito;"each person";25857
421;拉致;rati;"taking captive";25758
422;起訴;kiso;prosecution;25691
423;通信;tuusin;correspondence;25666
424;部門;bumon;division;25528
425;政党;seitoo;"political party";25507
426;毎日;mainiti;"every day";25492
427;周辺;syuuhen;circumference;25411
428;厚生;koosei;welfare;25220
429;否定;hitei;negation;25189
430;生徒;seito;pupil;25147
431;段階;dankai;grade;25141
432;一時;itizi;"one o'clock";25126
433;出版;syuppan;publication;25091
434;活躍;katuyaku;activity;24951
435;業界;gyookai;"business world";24924
436;本社;honsya;"head office";24853
437;十分;zyuubun;plenty;24845
438;地球;tikyuu;"the earth";24820
439;年齢;nenrei;age;24811
440;対抗;taikoo;opposition;24777
441;上昇;zyoosyoo;rising;24763
442;勢力;seiryoku;influence;24763
443;会場;kaizyoo;"assembly hall";24762
444;軍事;gunzi;"military affairs";24725
445;準備;zyunbi;preparation;24649
446;決議;ketugi;resolution;24585
447;掲載;keisai;publication;24536
448;殺害;satugai;killing;24481
449;条約;zyooyaku;treaty;24460
450;宣言;sengen;declaration;24453
451;現代;gendai;nowadays;24448
452;逆転;gyakuten;change;24438
453;大幅;oohaba;big;24362
454;成績;seiseki;results;24323
455;行為;kooi;act;24317
456;努力;doryoku;"great effort";24297
457;立場;tatiba;standpoint;24297
458;危険;kiken;danger;24234
459;独立;dokuritu;independence;24217
460;役員;yakuin;officer;24176
461;一番;itiban;best;24155
462;最初;saisyo;beginning;24147
463;変化;henka;change;24126
464;工場;koozyoo;factory;24107
465;構造;koozoo;structure;24054
466;家庭;katei;home;23975
467;国立;kokuritu;national;23939
468;雇用;koyoo;employment;23926
469;修正;syuusei;amendment;23910
470;交流;kooryuu;exchange;23834
471;会合;kaigoo;meeting;23826
472;回答;kaitoo;reply;23747
473;大切;taisetu;important;23719
474;郵政;yuusei;"postal system";23704
475;連勝;rensyoo;"consecutive victories";23681
476;営業;eigyoo;business;23646
477;世代;sedai;generation;23605
478;分析;bunseki;analysis;23604
479;当初;toosyo;"at first";23520
480;認定;nintei;authorization;23470
481;一緒;issyo;together;23453
482;分野;bunya;field;23368
483;大量;tairyoo;"large quantity";23294
484;輸入;yunyuu;importation;23175
485;指示;sizi;indication;23077
486;方向;hookoo;direction;23028
487;本格;honkaku;"original method or procedure";22986
488;能力;nooryoku;ability;22916
489;料理;ryoori;cooking;22895
490;製造;seizoo;manufacture;22883
491;不明;humei;unknown;22860
492;人事;zinzi;"personnel affairs";22832
493;実験;zikken;experiment;22707
494;児童;zidoo;children;22658
495;球団;kyuudan;"baseball team";22582
496;設立;seturitu;establishment;22547
497;購入;koonyuu;purchase;22424
498;通算;tuusan;total;22400
499;登場;toozyoo;entry;22376
500;終了;syuuryoo;end;22315
501;各国;kakkoku;"each nation";22263
502;戦後;sengo;"postwar period";22252
503;成功;seikoo;success;22232
504;不正;husei;injustice;22200
505;前回;zenkai;"previous time";22165
506;直後;tyokugo;"immediately following";22145
507;審査;sinsa;judging;22135
508;緊急;kinkyuu;urgent;22126
509;事態;zitai;situation;22051
510;議会;gikai;Diet;22042
511;株価;kabuka;"stock prices";22040
512;無料;muryoo;free;22035
513;連絡;renraku;"to contact";22009
514;社員;syain;"company employee";22006
515;同様;dooyoo;identical;21958
516;競争;kyoosoo;competition;21828
517;直接;tyokusetu;direct;21821
518;積極;sekkyoku;positive;21800
519;前半;zenhan;"first half";21740
520;集中;syuutyuu;concentration;21728
521;閣僚;kakuryoo;"cabinet ministers";21644
522;主要;syuyoo;chief;21572
523;悪化;akka;deterioration;21521
524;自己;ziko;self;21495
525;失点;sitten;"losing points";21457
526;増加;zooka;increase;21454
527;年間;nenkan;year;21441
528;選択;sentaku;selection;21418
529;一致;itti;coincidence;21388
530;進出;sinsyutu;advance;21316
531;意向;ikoo;intention;21234
532;犯罪;hanzai;crime;21232
533;首位;syui;"first place";21213
534;拒否;kyohi;denial;21198
535;交通;kootuu;traffic;21181
536;小説;syoosetu;novel;21163
537;首都;syuto;"capital city";21094
538;民営;minei;"private management";21065
539;前日;zenzitu;"previous day";21046
540;赤字;akazi;deficit;20959
541;廃止;haisi;abolition;20940
542;体験;taiken;"personal experience";20929
543;人生;zinsei;life;20915
544;財務;zaimu;"financial affairs";20854
545;名誉;meiyo;honor;20839
546;請求;seikyuu;claim;20805
547;食品;syokuhin;commodity;20795
548;発行;hakkoo;issue;20794
549;減少;gensyoo;decrease;20773
550;達成;tassei;achievement;20771
551;採用;saiyoo;use;20770
552;観光;kankoo;sightseeing;20746
553;加盟;kamei;participation;20701
554;再建;saiken;rebuilding;20676
555;多数;tasuu;"great number";20656
556;事情;zizyoo;circumstances;20654
557;信頼;sinrai;reliance;20654
558;所得;syotoku;income;20632
559;統合;toogoo;integration;20631
560;撮影;satuei;photography;20623
561;現実;genzitu;reality;20606
562;週間;syuukan;week;20598
563;金利;kinri;"interest rates";20588
564;貿易;booeki;trade;20557
565;継続;keizoku;continuation;20465
566;帰国;kikoku;"return to one's country";20436
567;対立;tairitu;confrontation;20391
568;役割;yakuwari;part;20304
569;変更;henkoo;change;20267
570;指定;sitei;designation;20219
571;発足;hossoku;starting;20205
572;現地;genti;"actual place";20173
573;番号;bangoo;number;20132
574;現状;genzyoo;"present condition";20105
575;輸出;yusyutu;export;20082
576;試験;siken;examination;20016
577;無職;musyoku;"without an occupation";19909
578;同時;doozi;simultaneous;19852
579;完全;kanzen;perfection;19836
580;長期;tyooki;"long time period";19833
581;途中;totyuu;"on the way";19829
582;部屋;heya;room;19821
583;登録;tooroku;registration;19820
584;工事;koozi;"construction work";19703
585;特定;tokutei;specific;19699
586;早期;sooki;"early stage";19681
587;演説;enzetu;speech;19676
588;不足;husoku;insufficiency;19646
589;従来;zyuurai;"up to now";19617
590;辞任;zinin;"to resign";19614
591;企画;kikaku;planning;19578
592;略歴;ryakureki;"brief personal record";19525
593;申請;sinsei;application;19524
594;先生;sensei;teacher;19519
595;主婦;syuhu;housewife;19460
596;執行;sikkoo;execution;19424
597;官邸;kantei;"official residence";19423
598;農業;noogyoo;agriculture;19423
599;順位;zyuni;order;19416
600;誕生;tanzyoo;birth;19399
601;債権;saiken;credit;19352
602;重視;zyuusi;importance;19314
603;声明;seimei;declaration;19294
604;総会;sookai;"general meeting";19288
605;疑問;gimon;question;19195
606;発展;hatten;development;19140
607;名人;meizin;master;19109
608;母親;hahaoya;mother;19107
609;各地;kakuti;"every place";19087
610;競馬;keiba;"horse racing";19054
611;長男;tyoonan;"eldest son";19033
612;世論;seron;"public opinion";19026
613;若者;wakamono;"young man";18974
614;本人;honnin;"the person himself";18951
615;宇宙;utyuu;universe;18936
616;名前;namae;name;18874
617;大使;taisi;ambassador;18848
618;主導;syudoo;leadership;18790
619;関心;kansin;concern;18789
620;全員;zenin;"all members";18770
621;文書;bunsyo;document;18762
622;男女;danzyo;"men and women";18747
623;確定;kakutei;decision;18664
624;将棋;syoogi;shogi;18660
625;追加;tuika;addition;18651
626;対戦;taisen;"waging war";18640
627;両国;ryookoku;"both countries";18635
628;関与;kanyo;participation;18629
629;規定;kitei;regulation;18617
630;航空;kookuu;aviation;18609
631;郵便;yuubin;"mail service";18593
632;合併;gappei;combination;18592
633;通常;tuuzyoo;common;18515
634;公共;kookyoo;public;18449
635;復帰;hukki;return;18414
636;正式;seisiki;"due form";18400
637;原則;gensoku;principle;18397
638;表情;hyoozyoo;"facial expression";18356
639;特集;tokusyuu;feature;18294
640;新人;sinzin;"new face";18285
641;陸上;rikuzyoo;land;18229
642;路線;rosen;route;18219
643;連覇;renpa;"successive championships";18188
644;結婚;kekkon;marriage;18170
645;同市;doosi;"same city";18151
646;独自;dokuzi;original;18093
647;福祉;hukusi;welfare;18061
648;優先;yuusen;preference;18016
649;総額;soogaku;"sum total";17953
650;自信;zisin;self-confidence;17933
651;笑顔;egao;"smiling face";17931
652;有効;yuukoo;validity;17919
653;慎重;sintyoo;careful;17913
654;先月;sengetu;"last month";17838
655;焦点;syooten;focus;17813
656;我々;wareware;we;17800
657;部隊;butai;force;17759
658;空港;kuukoo;airport;17751
659;基地;kiti;base;17748
660;実際;zissai;practicality;17742
661;製品;seihin;"manufactured goods";17735
662;集団;syuudan;group;17698
663;度目;dome;"the Nth time";17689
664;明確;meikaku;clear;17576
665;市立;siritu;municipal;17550
666;組合;kumiai;association;17547
667;武装;busoo;arms;17535
668;行方;yukue;whereabouts;17534
669;情勢;zyoosei;"state of things";17531
670;人口;zinkoo;population;17515
671;最多;saita;most;17466
672;息子;musuko;son;17434
673;補助;hozyo;assistance;17419
674;緩和;kanwa;relief;17377
675;資産;sisan;property;17376
676;大事;daizi;important;17371
677;講演;kooen;lecture;17339
678;住所;zyuusyo;address;17300
679;電子;densi;electron;17287
680;決算;kessan;"balance sheet";17276
681;治安;tian;"public order";17248
682;成果;seika;fruits;17216
683;活用;katuyoo;"practical use";17200
684;制限;seigen;restriction;17101
685;所属;syozoku;"attached to";17097
686;交代;kootai;alternation;17095
687;映像;eizoo;reflection;17094
688;破壊;hakai;destruction;17091
689;低下;teika;fall;17087
690;統一;tooitu;unity;17036
691;現行;genkoo;present;17031
692;諸国;syokoku;"various countries";17021
693;賛成;sansei;approval;17018
694;以内;inai;within;17015
695;財源;zaigen;"source of funds";16929
696;文学;bungaku;literature;16878
697;自殺;zisatu;suicide;16846
698;構成;koosei;organization;16825
699;解散;kaisan;breakup;16818
700;疑惑;giwaku;doubt;16788
701;様子;yoosu;state;16767
702;交換;kookan;exchange;16736
703;心配;sinpai;worry;16734
704;全面;zenmen;"whole surface";16721
705;配慮;hairyo;consideration;16715
706;保有;hoyuu;possession;16714
707;距離;kyori;distance;16702
708;人権;zinken;"human rights";16619
709;石油;sekiyu;oil;16599
710;遺体;itai;corpse;16521
711;避難;hinan;"taking refuge";16497
712;復興;hukkoo;revival;16486
713;実態;zittai;"true state";16442
714;地検;tiken;"District Public Prosecutor's Office";16432
715;燃料;nenryoo;fuel;16415
716;復活;hukkatu;revival;16394
717;困難;konnan;difficulty;16374
718;卒業;sotugyoo;graduation;16360
719;手術;syuzyutu;operation;16350
720;複数;hukusuu;several;16324
721;党首;toosyu;"party leader";16314
722;南部;nanbu;"southern part";16249
723;承認;syoonin;recognition;16246
724;解説;kaisetu;explanation;16238
725;日程;nittei;schedule;16236
726;大人;otona;adult;16175
727;募集;bosyuu;recruiting;16170
728;買収;baisyuu;acquisition;16156
729;遺族;izoku;"bereaved family";16145
730;年生;nensei;"pupil in ... year";16132
731;衝突;syoototu;collision;16093
732;葬儀;soogi;"funeral service";16081
733;爆発;bakuhatu;explosion;16072
734;機会;kikai;chance;16060
735;混乱;konran;disorder;16059
736;転換;tenkan;convert;16040
737;演出;ensyutu;production;16017
738;印象;insyoo;impression;16001
739;対話;taiwa;dialogue;15996
740;作成;sakusei;"drawing up";15962
741;観測;kansoku;observation;15944
742;細胞;saiboo;cell;15944
743;売却;baikyaku;"selling off";15886
744;実行;zikkoo;practice;15838
745;不満;human;dissatisfaction;15813
746;注意;tyuui;caution;15786
747;価値;kati;value;15765
748;以前;izen;ago;15689
749;中止;tyuusi;suspension;15679
750;出演;syutuen;performance;15651
751;取得;syutoku;acquisition;15648
752;魅力;miryoku;charm;15644
753;連携;renkei;cooperation;15628
754;連邦;renpoo;commonwealth;15511
755;高速;koosoku;"high speed";15489
756;賠償;baisyoo;reparations;15475
757;入院;nyuuin;hospitalization;15448
758;不良;huryoo;badness;15437
759;会員;kaiin;member;15430
760;秘書;hisyo;secretary;15414
761;授業;zyugyoo;lesson;15412
762;資料;siryoo;materials;15400
763;史上;sizyoo;historical;15396
764;意欲;iyoku;will;15391
765;警戒;keikai;vigilance;15386
766;撤退;tettai;evacuation;15380
767;大型;oogata;large;15328
768;実績;zisseki;achievements;15319
769;傾向;keikoo;tendency;15305
770;貢献;kooken;contribution;15301
771;普通;hutuu;general;15295
772;芸術;geizyutu;art;15246
773;監視;kansi;monitoring;15234
774;水準;suizyun;level;15214
775;方式;hoosiki;form;15182
776;失敗;sippai;failure;15177
777;費用;hiyoo;cost;15177
778;公式;koosiki;formality;15173
779;回収;kaisyuu;collection;15134
780;期限;kigen;term;15121
781;訃報;huhoo;"news of a person's death";15114
782;先制;sensei;preempt;15110
783;大変;taihen;very;15108
784;資本;sihon;funds;15098
785;退職;taisyoku;retirement;15081
786;物語;monogatari;tale;15067
787;病気;byooki;illness;15055
788;更新;koosin;renewal;15034
789;解除;kaizyo;cancellation;15030
790;現金;genkin;cash;14983
791;生命;seimei;life;14960
792;作戦;sakusen;tactics;14949
793;国土;kokudo;country;14932
794;公判;koohan;"public hearing";14931
795;崩壊;hookai;collapse;14901
796;融資;yuusi;financing;14898
797;適用;tekiyoo;applying;14885
798;元気;genki;health;14863
799;書記;syoki;clerk;14859
800;旅行;ryokoo;travel;14856
801;伝統;dentoo;tradition;14835
802;場面;bamen;scene;14824
803;非常;hizyoo;emergency;14820
804;比例;hirei;proportion;14813
805;収入;syuunyuu;income;14803
806;中間;tyuukan;middle;14791
807;原発;genpatu;"nuclear power plant";14784
808;下落;geraku;depreciation;14772
809;今週;konsyuu;"this week";14753
810;応援;ooen;aid;14646
811;学園;gakuen;academy;14615
812;検察;kensatu;examination;14587
813;意思;isi;intention;14554
814;深刻;sinkoku;serious;14542
815;再編;saihen;reorganization;14525
816;想定;sootei;hypothesis;14514
817;原油;genyu;"crude oil";14476
818;閣議;kakugi;"cabinet meeting";14470
819;国交;kokkoo;"diplomatic relations";14470
820;打線;dasen;"baseball lineup";14456
821;法律;hooritu;law;14456
822;同省;doosyoo;"the said ministry";14447
823;三振;sansin;"strike out";14420
824;刑事;keizi;detective;14409
825;打者;dasya;batter;14401
826;応募;oobo;application;14382
827;展示;tenzi;exhibition;14382
828;勉強;benkyoo;study;14348
829;種類;syurui;variety;14341
830;建築;kentiku;construction;14307
